sampleset,path,chrom,file_format,genotyping_method,bgen_sample_file
1000G,tests/data/vcf/split/PGS000586_GRCh38_1.vcf.gz,1,vcf,array,
1000G,tests/data/vcf/split/PGS000586_GRCh38_2.vcf.gz,2,vcf,array,
1000G,tests/data/vcf/split/PGS000586_GRCh38_3.vcf.gz,3,vcf,array,
1000G,tests/data/vcf/split/PGS000586_GRCh38_4.vcf.gz,4,vcf,array,
1000G,tests/data/vcf/split/PGS000586_GRCh38_5.vcf.gz,5,vcf,array,
1000G,tests/data/vcf/split/PGS000586_GRCh38_6.vcf.gz,6,vcf,array,
1000G,tests/data/vcf/split/PGS000586_GRCh38_7.vcf.gz,7,vcf,array,
1000G,tests/data/vcf/split/PGS000586_GRCh38_8.vcf.gz,8,vcf,array,
1000G,tests/data/vcf/split/PGS000586_GRCh38_9.vcf.gz,9,vcf,array,
1000G,tests/data/vcf/split/PGS000586_GRCh38_10.vcf.gz,10,vcf,array,
1000G,tests/data/vcf/split/PGS000586_GRCh38_11.vcf.gz,11,vcf,array,
1000G,tests/data/vcf/split/PGS000586_GRCh38_12.vcf.gz,12,vcf,array,
1000G,tests/data/vcf/split/PGS000586_GRCh38_13.vcf.gz,13,vcf,array,
1000G,tests/data/vcf/split/PGS000586_GRCh38_14.vcf.gz,14,vcf,array,
1000G,tests/data/vcf/split/PGS000586_GRCh38_15.vcf.gz,15,vcf,array,
1000G,tests/data/vcf/split/PGS000586_GRCh38_16.vcf.gz,16,vcf,array,
1000G,tests/data/vcf/split/PGS000586_GRCh38_17.vcf.gz,17,vcf,array,
1000G,tests/data/vcf/split/PGS000586_GRCh38_18.vcf.gz,18,vcf,array,
1000G,tests/data/vcf/split/PGS000586_GRCh38_19.vcf.gz,19,vcf,array,
1000G,tests/data/vcf/split/PGS000586_GRCh38_20.vcf.gz,20,vcf,array,
1000G,tests/data/vcf/split/PGS000586_GRCh38_21.vcf.gz,21,vcf,array,
1000G,tests/data/vcf/split/PGS000586_GRCh38_22.vcf.gz,22,vcf,array,
